ticker,corp_name,delisting_date,delisting_reason,corp_code,listed_company
045880,유티엑스,20100410,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정,00344746,0
017050,스타맥스,20100405,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정 ",00136554,0
054020,GK파워,20100403,최종부도,00349787,0
084810,아이알디,20100401,당해 코스닥시장상장법인의 계속성 및 경영의 투명성 등을 종합적으로 고려한 결과 상장폐지기준에 해당한다고 결정,00507257,0
017010,제너비오믹스,20100326,- 주된 영업이 정지되어 코스닥시장상장규정 제38조제2항제1호(삭제 ‘09.12.2)의 상장폐지기준 해당 / 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려한 결과 코스닥시장상장규정 제38조제2항제5호라목(신설 ‘09.12.2)의 상장폐지기준 해당 ,00158839,0
008320,한국기술산업,20100311,감사의견 의견거절,00110176,0
015050,비전하이테크,20100309,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",00140919,0
056850,코어비트,20100309,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",00358095,0
041800,코디콤,20100309,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",00287724,0
078700,신지소프트,20100227,시가총액 40억원 미달,00477372,0
031960,동산진흥,20100220,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정",00267775,0
067950,티이씨,20100220,당해 코스닥시장상장법인의 계속성 및 경영의 투명성 등을 종합적으로 고려한 결과 상장폐지기준에 해당한다고 결정,00394574,0
045400,이롬텍,20100211,"정기보고서 미제출로 관리종목 지정후 법정제출기한내 사업보고서 미제출, 2회 연속 정기주주총회 미개최 또는 재무제표 미승인, 자본전액잠식 ",00348140,0
037830,글로포스트,20100209,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",00261188,0
080140,디보스,20100202,자본잠식률 50%이상사유로 관리종목지정후 반기 감사의견 부적정,00441298,0
047940,비엔디,20100129,당해 코스닥시장상장법인의 계속성 및 경영의 투명성 등을 종합적으로 고려한 결과 상장폐지기준에 해당한다고 결정,00329084,0
037510,굿라이프10-MF,20100126,자본시장과금융투자업에관한법률 제202조제1항에 의한 해산사유에 해당하는 경우,00297970,0
062730,케너텍,20091223,회생절차폐지결정사유 및 당해 코스닥시장상장법인의 계속기업 가능성 유무를 고려한 결과  상장폐지기준에 해당한다고 결정,00372013,0
085680,모빌탑,20091125,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",00540021,0
036660,플러스프로핏,20091120,감사범위 제한에 따른 감사의견 거절,00259606,0
014420,프로비타,20091106,주된 영업의 정지에 의한 상장폐지기준 해당,00128953,0
051530,굿이엠지,20091103,주된 영업의 정지에 의한 상장폐지기준 해당,00300779,0
035010,소예,20091103,최근 사업연도의 재무제표에 대한 감사인의 감사의견거절,00134909,0
001950,남한제지,20091015,자본잠식(자본금의 50/100이상 잠식) 2년 계속,00107923,0
066850,아이드림,20091007,자본잠식률 50%이상으로 관리종목 지정 후 반기 재무제표에 대한 감사의견 거절,00397766,0
044770,에이엠에스,20091007,"자본전액잠식, 2반기 연속 자본잠식률 50%이상, 2반기 연속 자기자본 10억원 미만",00264103,0
052640,제네시스,20091007,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",00347840,0
073710,씨디네트웍스,20090923,상장폐지신청(2009.08.31),00493501,0
032570,카라반케이디이,20090918,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래 정지,00101442,0
058550,네오리소스,20090915,자본잠식률 50%이상 및 자기자본 10억원 미만으로 관리종목 지정 후 반기의 재무제표에 대한 감사의견 거절,00370547,0
054650,뉴젠비아이티,20090904,반기보고서 법정제출기한 익일부터 10일이내 반기검토(감사)보고서 미제출,00362380,0
